Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
A010101,Tangible Asset,Tangible Asset,Asset,Debit,false,true,,A0101,D,,Algebraic,false
A01010101,Land,Land,Asset,Debit,false,true,,A010101,C,,Algebraic,false
A01010102,Buildings,Buildings,Asset,Debit,false,true,,A010101,C,,Algebraic,false
A01010103,Plant & Machinery,Plant & Machinery,Asset,Debit,false,true,,A010101,C,,Algebraic,false
A01010104,Furniture & Fittings,Furniture & Fittings,Asset,Debit,false,true,,A010101,C,,Algebraic,false
A01010105,Vehicles,Vehicles,Asset,Debit,false,true,,A010101,C,,Algebraic,false
A010102,Intangible Assets,Intangible Assets,Asset,Debit,false,true,,A0101,D,,Algebraic,false
A01010201,Software,Software,Asset,Debit,false,true,,A010102,C,,Algebraic,false
A01010202,Goodwill,Goodwill,Asset,Debit,false,true,,A010102,C,,Algebraic,false
A01010203,Copy Right & Patent Right,Copy Right & Patent Right,Asset,Debit,false,true,,A010102,C,,Algebraic,false
A01010204,Brands / Trademarks,Brands / Trademarks,Asset,Debit,false,true,,A010102,C,,Algebraic,false
